"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",Chart.bundle.min.js,/github/workspace/src/frontend/vendor/chartjs/Chart.bundle.min.js,"","",b47cc5cc3a8a116a19fd88e7a07b91d1,68de9de45edaef132d2706b051ad049422125152,"pkg:javascript/chart.js@2.7.2, pkg:javascript/moment.js@2.20.1","",CVE-2020-7746,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"This affects the package chart.js before 2.9.4. The options parameter is not properly sanitized when it is processed. When the options are processed, the existing options (or the defaults options) are deeply merged with provided options. However, during this operation, the keys of the object being set are not checked, leading to a prototype pollution.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","","HIGHEST, HIGHEST",6,"","","","","","","",""
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",Chart.bundle.min.js,/github/workspace/src/frontend/vendor/chartjs/Chart.bundle.min.js,"","",b47cc5cc3a8a116a19fd88e7a07b91d1,68de9de45edaef132d2706b051ad049422125152,"pkg:javascript/chart.js@2.7.2, pkg:javascript/moment.js@2.20.1","",CVE-2022-24785,"CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'), CWE-27 Path Traversal: 'dir/../../filename'","Moment.js is a JavaScript date library for parsing, validating, manipulating, and formatting dates. A path traversal vulnerability impacts npm (server) users of Moment.js between versions 1.0.1 and 2.29.1, especially if a user-provided locale string is directly used to switch moment locale. This problem is patched in 2.29.2, and the patch can be applied to all affected versions. As a workaround, sanitize the user-provided locale name before passing it to Moment.js.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N/E:3.9/RC:R/MAV:A,"","","","HIGHEST, HIGHEST",6,"","","","","","","",""
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",Chart.bundle.min.js,/github/workspace/src/frontend/vendor/chartjs/Chart.bundle.min.js,"","",b47cc5cc3a8a116a19fd88e7a07b91d1,68de9de45edaef132d2706b051ad049422125152,"pkg:javascript/chart.js@2.7.2, pkg:javascript/moment.js@2.20.1","",CVE-2022-31129,"CWE-400 Uncontrolled Resource Consumption, CWE-1333 Inefficient Regular Expression Complexity","moment is a JavaScript date library for parsing, validating, manipulating, and formatting dates. Affected versions of moment were found to use an inefficient parsing algorithm. Specifically using string-to-date parsing in moment (more specifically rfc2822 parsing, which is tried by default) has quadratic (N^2) complexity on specific inputs. Users may notice a noticeable slowdown is observed with inputs above 10k characters. Users who pass user-provided strings without sanity length checks to moment constructor are vulnerable to (Re)DoS attacks. The problem is patched in 2.29.4, the patch can be applied to all affected versions with minimal tweaking. Users are advised to upgrade. Users unable to upgrade should consider limiting date lengths accepted from user input.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,"","","","HIGHEST, HIGHEST",6,"","","","","","","",""
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",bootstrap.min.js,/github/workspace/src/frontend/vendor/bootstrap-4.1/bootstrap.min.js,"","",95697eefe013ce1a1e69c14105d09696,7fcbfe254ff0b171b13c21c7a86d4db5a32fa676,pkg:javascript/bootstrap@4.1.0,"",CVE-2018-14040,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 4.1.2, XSS is possible in the collapse data-parent attribute.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",bootstrap.min.js,/github/workspace/src/frontend/vendor/bootstrap-4.1/bootstrap.min.js,"","",95697eefe013ce1a1e69c14105d09696,7fcbfe254ff0b171b13c21c7a86d4db5a32fa676,pkg:javascript/bootstrap@4.1.0,"",CVE-2018-14041,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 4.1.2, XSS is possible in the data-target property of scrollspy.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",bootstrap.min.js,/github/workspace/src/frontend/vendor/bootstrap-4.1/bootstrap.min.js,"","",95697eefe013ce1a1e69c14105d09696,7fcbfe254ff0b171b13c21c7a86d4db5a32fa676,pkg:javascript/bootstrap@4.1.0,"",CVE-2018-14042,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 4.1.2, XSS is possible in the data-container property of tooltip.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",bootstrap.min.js,/github/workspace/src/frontend/vendor/bootstrap-4.1/bootstrap.min.js,"","",95697eefe013ce1a1e69c14105d09696,7fcbfe254ff0b171b13c21c7a86d4db5a32fa676,pkg:javascript/bootstrap@4.1.0,"",CVE-2019-8331,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 3.4.1 and 4.3.x before 4.3.1, XSS is possible in the tooltip or popover data-template attribute.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",bootstrap.min.js,/github/workspace/src/frontend/vendor/bootstrap-4.1/bootstrap.min.js,"","",95697eefe013ce1a1e69c14105d09696,7fcbfe254ff0b171b13c21c7a86d4db5a32fa676,pkg:javascript/bootstrap@4.1.0,"",CVE-2024-6531,"","",RETIREJS,"","","","","","","","","",HIGHEST,3,"","","","","","","",""
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",jquery-3.2.1.min.js,/github/workspace/src/frontend/vendor/jquery-3.2.1.min.js,"","",473957cfb255a781b42cb2af51d54a3b,67bdacbd077ee59f411109fd119ee9f58db15a5f,pkg:javascript/jquery@3.2.1.min,"",CVE-2019-11358,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"jQuery before 3.4.0, as used in Drupal, Backdrop CMS, and other products, mishandles jQuery.extend(true, {}, ...) because of Object.prototype pollution. If an unsanitized source object contained an enumerable __proto__ property, it could extend the native Object.prototype.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
Mutillidae,"Mon, 7 Apr 2025 15:29:58 GMT",jquery-3.2.1.min.js,/github/workspace/src/frontend/vendor/jquery-3.2.1.min.js,"","",473957cfb255a781b42cb2af51d54a3b,67bdacbd077ee59f411109fd119ee9f58db15a5f,pkg:javascript/jquery@3.2.1.min,"",CVE-2020-11022,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In jQuery versions greater than or equal to 1.2 and before 3.5.0, passing HTML from untrusted sources - even after sanitizing it - to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute untrusted code. This problem is patched in jQuery 3.5.0.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
